Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
     count   0.505301   0.000047   0.000004                 14000.txt
      save   0.000059   0.000000   0.000000                 14000.txt
     count   0.588029   0.000054   0.000004                 15000.txt
      save   0.000123   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -O2
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000028   0.000000   0.000000               20 elements
     count   0.262316   0.000023   0.000002                 10000.txt
      save   0.000019   0.000000   0.000000                 10000.txt
     count   0.309980   0.000027   0.000005                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.369212   0.000035   0.000001                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.432822   0.000040   0.000003                 13000.txt
      save   0.000017   0.000000   0.000000                 13000.txt
     count   0.502916   0.000047   0.000004                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.577870   0.000054   0.000004                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000001   0.000000   0.000000                   index 4
     count   0.258838   0.000023   0.000002                 10000.txt
      save   0.000065   0.000000   0.000000                 10000.txt
     count   0.314184   0.000029   0.000003                 11000.txt
      save   0.000102   0.000000   0.000000                 11000.txt
     count   0.367657   0.000033   0.000004                 12000.txt
      save   0.000023   0.000000   0.000000                 12000.txt
     count   0.430509   0.000040   0.000003                 13000.txt
      save   0.000119   0.000000   0.000000                 13000.txt
     count   0.512888   0.000047   0.000004                 14000.txt
      save   0.000059   0.000000   0.000000                 14000.txt
     count   0.580268   0.000054   0.000004                 15000.txt
      save   0.000029   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O2
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000020   0.000000   0.000000               20 elements
     count   0.262182   0.000025   0.000001                 10000.txt
      save   0.000020   0.000000   0.000000                 10000.txt
     count   0.310587   0.000028   0.000002                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.369545   0.000035   0.000002                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.434254   0.000041   0.000003                 13000.txt
      save   0.000017   0.000000   0.000000                 13000.txt
     count   0.503834   0.000048   0.000003                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.576664   0.000055   0.000002                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000001   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259447   0.000024   0.000002                 10000.txt
      save   0.000023   0.000000   0.000000                 10000.txt
     count   0.313675   0.000030   0.000002                 11000.txt
      save   0.000023   0.000000   0.000000                 11000.txt
     count   0.373776   0.000033   0.000003                 12000.txt
      save   0.000118   0.000000   0.000000                 12000.txt
     count   0.441569   0.000040   0.000005                 13000.txt
      save   0.000285   0.000000   0.000000                 13000.txt
     count   0.509663   0.000047   0.000004                 14000.txt
      save   0.000029   0.000000   0.000000                 14000.txt
     count   0.575311   0.000054   0.000003                 15000.txt
      save   0.000042   0.000000   0.000000                 15000.txt
Testing for version ./zad2_static and option -O3
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000018   0.000000   0.000000               20 elements
     count   0.263389   0.000025   0.000001                 10000.txt
      save   0.000017   0.000000   0.000000                 10000.txt
     count   0.311174   0.000028   0.000003                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.369979   0.000034   0.000003                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.434283   0.000041   0.000003                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.503937   0.000046   0.000003                 14000.txt
      save   0.000016   0.000000   0.000000                 14000.txt
     count   0.576822   0.000052   0.000006                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000001   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259448   0.000025   0.000001                 10000.txt
      save   0.000039   0.000000   0.000000                 10000.txt
     count   0.319325   0.000028   0.000004                 11000.txt
      save   0.000023   0.000000   0.000000                 11000.txt
